# theta[arcmin]  xi_+(theta)  sigma(xi_+(theta))
2.805046135754908576e+00 6.516167332808664447e+00 1.000000000000000000e+00
3.531343861556885955e+00 6.347699867604633894e+00 1.000000000000000000e+00
4.445698525097307119e+00 9.776782585312989937e+00 1.000000000000000000e+00
5.596802846420849242e+00 7.832254046042039342e+00 1.000000000000000000e+00
7.045957328161134292e+00 9.011080198568578226e+00 1.000000000000000000e+00
8.870334730839386950e+00 1.138867057642875125e+01 1.000000000000000000e+00
1.116708980377408089e+01 9.899093225453887257e+00 1.000000000000000000e+00
1.405853312975873060e+01 1.132720090343697272e+01 1.000000000000000000e+00
1.769864460960345198e+01 1.333755796342894762e+01 1.000000000000000000e+00
2.228127345334363696e+01 1.418545779335076240e+01 1.000000000000000000e+00
2.805046135754908221e+01 1.483743200393919359e+01 1.000000000000000000e+00
3.531343861556885599e+01 1.750670274824481254e+01 1.000000000000000000e+00
4.445698525097307652e+01 1.921965366655027552e+01 1.000000000000000000e+00
5.596802846420850841e+01 2.225561066612208094e+01 1.000000000000000000e+00
7.045957328161135536e+01 2.229148275109653810e+01 1.000000000000000000e+00
8.870334730839384463e+01 2.581720986455826505e+01 1.000000000000000000e+00
1.116708980377407840e+02 3.051651190429046068e+01 1.000000000000000000e+00
1.405853312975873166e+02 3.438991892733520217e+01 1.000000000000000000e+00
1.769864460960345696e+02 3.454563999053775802e+01 1.000000000000000000e+00
2.228127345334364406e+02 4.062406925642628153e+01 1.000000000000000000e+00
